ID;URL's de las imágenes;Precio Final;Cantidad;Estado;Nombre;Descripción;Categorias;Precio Base;Precio Venta;Cantidad mínima;Nombre de la imagen;Folder
;http://localhost:8888/joyeria/imgtemp/IMG_3202.JPG;;200;1;Pulso mk animal print;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3202.JPG;acero_20160696
;http://localhost:8888/joyeria/imgtemp/IMG_3203.JPG;;200;1;Pulso mk tradicional;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3203.JPG;acero_20160697
;http://localhost:8888/joyeria/imgtemp/IMG_3204.JPG;;200;1;Juego bvlgari abanico;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3204.JPG;acero_20160698
;http://localhost:8888/joyeria/imgtemp/IMG_3205.JPG;;200;1;Pulso channel mo¤o;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3205.JPG;acero_20160699
;http://localhost:8888/joyeria/imgtemp/IMG_3206.JPG;;200;1;Pulso mk cuadro zirconia onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3206.JPG;acero_20160700
;http://localhost:8888/joyeria/imgtemp/IMG_3207.JPG;;200;1;Arete colgante tiffany;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3207.JPG;acero_20160701
;http://localhost:8888/joyeria/imgtemp/IMG_3208.JPG;;200;1;Pulso bvlgari clasico zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3208.JPG;acero_20160702
;http://localhost:8888/joyeria/imgtemp/IMG_3209.JPG;;200;1;Pulso tiffany corazon zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3209.JPG;acero_20160703
;http://localhost:8888/joyeria/imgtemp/IMG_3210.JPG;;200;1;Pulso mk doble animal print;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3210.JPG;acero_20160704
;http://localhost:8888/joyeria/imgtemp/IMG_3211.JPG;;200;1;Pulso tous delgado madre perla ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3211.JPG;acero_20160705
;http://localhost:8888/joyeria/imgtemp/IMG_3214.JPG;;200;1;Juego candado de channel;acero existente solo en amarillo y plata;1,4;;;;IMG_3214.JPG;acero_20160706
;http://localhost:8888/joyeria/imgtemp/IMG_3215.JPG;;200;1;Juego channel clasico ;acero existente solo en amarillo y plata;1,4;;;;IMG_3215.JPG;acero_20160707
;http://localhost:8888/joyeria/imgtemp/IMG_3216.JPG;;200;1;Juego bvlgari zirconia;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3216.JPG;acero_20160708
;http://localhost:8888/joyeria/imgtemp/IMG_3217.JPG;;200;1;Juego channel rombo ;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3217.JPG;acero_20160709
;http://localhost:8888/joyeria/imgtemp/IMG_3218.JPG;;200;1;Pulso tous delgado onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3218.JPG;acero_20160710
;http://localhost:8888/joyeria/imgtemp/IMG_3219.JPG;;200;1;Anillo tornillo de cartier;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3219.JPG;acero_20160711
;http://localhost:8888/joyeria/imgtemp/IMG_3220.JPG;;200;1;Juego tous madre perla y onix;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3220.JPG;acero_20160712
;http://localhost:8888/joyeria/imgtemp/IMG_3221.JPG;;200;1;Juego mk candado ;acero existente en acero solo amarillo;1,4;;;;IMG_3221.JPG;acero_20160713
;http://localhost:8888/joyeria/imgtemp/IMG_3222.JPG;;200;1;Juego bvlgari esposas;acero existente en acero solo amarillo;1,4;;;;IMG_3222.JPG;acero_20160714
;http://localhost:8888/joyeria/imgtemp/IMG_3223.JPG;;200;1;Juego channel czirconia colgante;acero existente en acero amarillo rosa y plata;1,4;;;;IMG_3223.JPG;acero_20160715
;http://localhost:8888/joyeria/imgtemp/IMG_3224.JPG;;200;1;Juego bvlgari onix 3 cz;acero existente solo en amarillo y plata;1,4;;;;IMG_3224.JPG;acero_20160716
;http://localhost:8888/joyeria/imgtemp/IMG_3225.JPG;;200;1;Juego bvlgari gota;acero existente solo en amarillo y plata;1,4;;;;IMG_3225.JPG;acero_20160717
;http://localhost:8888/joyeria/imgtemp/IMG_3226.JPG;;200;1;Juego bvlgari B;acero existente solo en amarillo y plata;1,4;;;;IMG_3226.JPG;acero_20160718
;http://localhost:8888/joyeria/imgtemp/IMG_3227.JPG;;200;1;Juego bvlgari doble circulo;acero existente solo en amarillo y plata;1,4;;;;IMG_3227.JPG;acero_20160719
