ID;Imagen;Nombre;Referencia;Categoría;Precio base;Precio final;Cantidad;Estado
637;http://localhost:8888/joyeria/img/p/6/3/7/637.jpg;Collar;637;Raíz;141;253.8;200;1
523;http://localhost:8888/joyeria/img/p/5/2/3/523.jpg;Gargantilla;523;Raíz;150;270;200;1
50;http://localhost:8888/joyeria/img/p/5/0/50.jpg;Pulso flecha rolex;50;Mujer;0;0;200;1
115;http://localhost:8888/joyeria/img/p/1/1/5/115.jpg;Arracada mk con zirconias cuadros;115;Mujer;0;0;200;1
612;http://localhost:8888/joyeria/img/p/6/1/2/612.jpg;Pulsera;612;Raíz;119;214.2;200;1
498;http://localhost:8888/joyeria/img/p/4/9/8/498.jpg;Gargantilla;498;Raíz;239;430.2;200;1
25;http://localhost:8888/joyeria/img/p/2/5/25.jpg;Broquel bvlgari madre perla;25;Mujer;0;0;200;1
90;http://localhost:8888/joyeria/img/p/9/0/90.jpg;Juego channel clasico;90;Mujer;0;0;200;1
587;http://localhost:8888/joyeria/img/p/5/8/7/587.jpg;Pulsera;587;Raíz;163;293.4;200;1
156;http://localhost:8888/joyeria/img/p/1/5/6/156.jpg;Juego channel zirconias;156;Mujer;0;0;200;1
654;http://localhost:8888/joyeria/img/p/6/5/4/654.jpg;Collar;654;Raíz;262;471.6;200;1
537;http://localhost:8888/joyeria/img/p/5/3/7/537.jpg;Gargantilla;537;Raíz;260;468;200;1
562;http://localhost:8888/joyeria/img/p/5/6/2/562.jpg;Pulsera;562;Raíz;49;88.2;200;1
129;http://localhost:8888/joyeria/img/p/1/2/9/129.jpg;Broquel bvlgari pico;129;Mujer;0;0;200;1
626;http://localhost:8888/joyeria/img/p/6/2/6/626.jpg;Pulsera;626;Raíz;94;169.2;200;1
512;http://localhost:8888/joyeria/img/p/5/1/2/512.jpg;Gargantilla;512;Raíz;160;288;200;1
64;http://localhost:8888/joyeria/img/p/6/4/64.jpg;Broquel llave tiffany;64;Mujer;0;0;200;1
39;http://localhost:8888/joyeria/img/p/3/9/39.jpg;Juego cartier ceramica;39;Mujer;0;0;200;1
104;http://localhost:8888/joyeria/img/p/1/0/4/104.jpg;Juego bvlgari cruz;104;Mujer;0;0;200;1
601;http://localhost:8888/joyeria/img/p/6/0/1/601.jpg;Pulsera;601;Raíz;117;210.6;200;1
170;http://localhost:8888/joyeria/img/p/1/7/0/170.jpg;Pulso channel doble zirconias;170;Mujer;0;0;200;1
668;http://localhost:8888/joyeria/img/p/6/6/8/668.jpg;Collar;668;Raíz;187;336.6;200;1
551;http://localhost:8888/joyeria/img/p/5/5/1/551.jpg;Gargantilla;551;Raíz;236;424.8;200;1
14;http://localhost:8888/joyeria/img/p/1/4/14.jpg;Pulso tiffany placa;14;Mujer;0;0;200;1
78;http://localhost:8888/joyeria/img/p/7/8/78.jpg;Pulso bvlgari eslabon clasico;78;Mujer;0;0;200;1
576;http://localhost:8888/joyeria/img/p/5/7/6/576.jpg;Pulsera;576;Raíz;97;174.6;200;1
145;http://localhost:8888/joyeria/img/p/1/4/5/145.jpg;Juego bvlgari flor;145;Mujer;0;0;200;1
640;http://localhost:8888/joyeria/img/p/6/4/0/640.jpg;Collar;640;Raíz;177;318.6;200;1
526;http://localhost:8888/joyeria/img/p/5/2/6/526.jpg;Gargantilla;526;Raíz;223;401.4;200;1
53;http://localhost:8888/joyeria/img/p/5/3/53.jpg;Broquel tiffany dog;53;Mujer;0;0;200;1
118;http://localhost:8888/joyeria/img/p/1/1/8/118.jpg;Pulso tiffany numeros romanos;118;Mujer;0;0;200;1
615;http://localhost:8888/joyeria/img/p/6/1/5/615.jpg;Pulsera;615;Raíz;70;126;200;1
501;http://localhost:8888/joyeria/img/p/5/0/1/501.jpg;Gargantilla;501;Raíz;199;358.2;200;1
28;http://localhost:8888/joyeria/img/p/2/8/28.jpg;Pulso cartier con desarmador;28;Mujer;0;0;200;1
93;http://localhost:8888/joyeria/img/p/9/3/93.jpg;Pulso tous delgado onix;93;Mujer;0;0;200;1
590;http://localhost:8888/joyeria/img/p/5/9/0/590.jpg;Pulsera;590;Raíz;94;169.2;200;1
159;http://localhost:8888/joyeria/img/p/1/5/9/159.jpg;Juego tiffany corazon;159;Mujer;0;0;200;1
657;http://localhost:8888/joyeria/img/p/6/5/7/657.jpg;Collar;657;Raíz;283;509.4;200;1
540;http://localhost:8888/joyeria/img/p/5/4/0/540.jpg;Gargantilla;540;Raíz;261;469.8;200;1
67;http://localhost:8888/joyeria/img/p/6/7/67.jpg;Broquel bvlgari onix rueda saliente;67;Mujer;0;0;200;1
565;http://localhost:8888/joyeria/img/p/5/6/5/565.jpg;Pulsera;565;Raíz;161;289.8;200;1
132;http://localhost:8888/joyeria/img/p/1/3/2/132.jpg;Alianza mk con zirconias;132;Mujer;0;0;200;1
629;http://localhost:8888/joyeria/img/p/6/2/9/629.jpg;Pulsera;629;Raíz;64;115.2;200;1
515;http://localhost:8888/joyeria/img/p/5/1/5/515.jpg;Gargantilla;515;Raíz;213;383.4;200;1
2;http://localhost:8888/joyeria/img/p/2/2.jpg;Pulso Tous;2;Mujer;0;0;200;1
42;http://localhost:8888/joyeria/img/p/4/2/42.jpg;Juego mk cruz con zirconia;42;Mujer;0;0;200;1
107;http://localhost:8888/joyeria/img/p/1/0/7/107.jpg;Juego cartier logo;107;Mujer;0;0;200;1
604;http://localhost:8888/joyeria/img/p/6/0/4/604.jpg;Pulsera;604;Raíz;64;115.2;200;1
490;http://localhost:8888/joyeria/img/p/4/9/0/490.jpg;Gargantilla;490;Raíz;257;462.6;200;1
671;http://localhost:8888/joyeria/img/p/6/7/1/671.jpg;Collar;671;Raíz;276;496.8;200;1
554;http://localhost:8888/joyeria/img/p/5/5/4/554.jpg;Gargantilla;554;Raíz;173;311.4;200;1
17;http://localhost:8888/joyeria/img/p/1/7/17.jpg;Pulso cartier zirconia;17;Mujer;0;0;200;1
81;http://localhost:8888/joyeria/img/p/8/1/81.jpg;Pulso mk tradicional;81;Mujer;0;0;200;1
579;http://localhost:8888/joyeria/img/p/5/7/9/579.jpg;Pulsera;579;Raíz;81;145.8;200;1
148;http://localhost:8888/joyeria/img/p/1/4/8/148.jpg;Juego bvlgari alianza;148;Mujer;0;0;200;1
643;http://localhost:8888/joyeria/img/p/6/4/3/643.jpg;Collar;643;Raíz;252;453.6;200;1
529;http://localhost:8888/joyeria/img/p/5/2/9/529.jpg;Gargantilla;529;Raíz;156;280.8;200;1
504;http://localhost:8888/joyeria/img/p/5/0/4/504.jpg;Gargantilla;504;Raíz;193;347.4;200;1
56;http://localhost:8888/joyeria/img/p/5/6/56.jpg;Broquel bvlgari rombo zirconia;56;Mujer;0;0;200;1
121;http://localhost:8888/joyeria/img/p/1/2/1/121.jpg;Broquel bvlgari clasico 8mm;121;Mujer;0;0;200;1
618;http://localhost:8888/joyeria/img/p/6/1/8/618.jpg;Pulsera;618;Raíz;97;174.6;200;1
31;http://localhost:8888/joyeria/img/p/3/1/31.jpg;Juego cartier zirconia 3 argollas;31;Mujer;0;0;200;1
96;http://localhost:8888/joyeria/img/p/9/6/96.jpg;Juego mk candado;96;Mujer;0;0;200;1
593;http://localhost:8888/joyeria/img/p/5/9/3/593.jpg;Pulsera;593;Raíz;122;219.6;200;1
162;http://localhost:8888/joyeria/img/p/1/6/2/162.jpg;Broquel tous clasico;162;Mujer;0;0;200;1
660;http://localhost:8888/joyeria/img/p/6/6/0/660.jpg;Collar;660;Raíz;272;489.6;200;1
543;http://localhost:8888/joyeria/img/p/5/4/3/543.jpg;Gargantilla;543;Raíz;297;534.6;200;1
70;http://localhost:8888/joyeria/img/p/7/0/70.jpg;Juego channel trebol madre perla;70;Mujer;0;0;200;1
568;http://localhost:8888/joyeria/img/p/5/6/8/568.jpg;Pulsera;568;Raíz;99;178.2;200;1
135;http://localhost:8888/joyeria/img/p/1/3/5/135.jpg;Juego channel logo;135;Mujer;0;0;200;1
632;http://localhost:8888/joyeria/img/p/6/3/2/632.jpg;Collar;632;Raíz;291;523.8;200;1
518;http://localhost:8888/joyeria/img/p/5/1/8/518.jpg;Gargantilla;518;Raíz;250;450;200;1
6;http://localhost:8888/joyeria/img/p/6/6.jpg;Pulso tiffany;6;Mujer;0;0;200;1
45;http://localhost:8888/joyeria/img/p/4/5/45.jpg;Pulso piel acero ferragamo;45;Mujer;0;0;200;1
110;http://localhost:8888/joyeria/img/p/1/1/0/110.jpg;Juego channel num. 5;110;Mujer;0;0;200;1
607;http://localhost:8888/joyeria/img/p/6/0/7/607.jpg;Pulsera;607;Raíz;119;214.2;200;1
493;http://localhost:8888/joyeria/img/p/4/9/3/493.jpg;Gargantilla;493;Raíz;226;406.8;200;1
674;http://localhost:8888/joyeria/img/p/6/7/4/674.jpg;Collar;674;Raíz;263;473.4;200;1
20;http://localhost:8888/joyeria/img/p/2/0/20.jpg;Pulso channel num. 5;20;Mujer;0;0;200;1
85;http://localhost:8888/joyeria/img/p/8/5/85.jpg;Pulso bvlgari clasico zirconia;85;Mujer;0;0;200;1
582;http://localhost:8888/joyeria/img/p/5/8/2/582.jpg;Pulsera;582;Raíz;69;124.2;200;1
151;http://localhost:8888/joyeria/img/p/1/5/1/151.jpg;Juego bvlgari 2 circulos;151;Mujer;0;0;200;1
649;http://localhost:8888/joyeria/img/p/6/4/9/649.jpg;Collar;649;Raíz;205;369;200;1
532;http://localhost:8888/joyeria/img/p/5/3/2/532.jpg;Gargantilla;532;Raíz;187;336.6;200;1
621;http://localhost:8888/joyeria/img/p/6/2/1/621.jpg;Pulsera;621;Raíz;101;181.8;200;1
507;http://localhost:8888/joyeria/img/p/5/0/7/507.jpg;Gargantilla;507;Raíz;201;361.8;200;1
59;http://localhost:8888/joyeria/img/p/5/9/59.jpg;Arracada cartier con esmalte;59;Mujer;0;0;200;1
557;http://localhost:8888/joyeria/img/p/5/5/7/557.jpg;Pulsera;557;Raíz;79;142.2;200;1
124;http://localhost:8888/joyeria/img/p/1/2/4/124.jpg;Arete trebol de channel;124;Mujer;0;0;200;1
34;http://localhost:8888/joyeria/img/p/3/4/34.jpg;Juego bvlgari zirconia saliente;34;Mujer;0;0;200;1
99;http://localhost:8888/joyeria/img/p/9/9/99.jpg;Juego bvlgari onix 3 cz;99;Mujer;0;0;200;1
596;http://localhost:8888/joyeria/img/p/5/9/6/596.jpg;Pulsera;596;Raíz;83;149.4;200;1
165;http://localhost:8888/joyeria/img/p/1/6/5/165.jpg;Juego channel cuadro;165;Mujer;0;0;200;1
663;http://localhost:8888/joyeria/img/p/6/6/3/663.jpg;Collar;663;Raíz;619;1114.2;200;1
546;http://localhost:8888/joyeria/img/p/5/4/6/546.jpg;Gargantilla;546;Raíz;125;225;200;1
9;http://localhost:8888/joyeria/img/p/9/9.jpg;Juego bvlgari;9;Mujer;0;0;200;1
73;http://localhost:8888/joyeria/img/p/7/3/73.jpg;Pulso mk placa;73;Mujer;0;0;200;1
571;http://localhost:8888/joyeria/img/p/5/7/1/571.jpg;Pulsera;571;Raíz;133;239.4;200;1
139;http://localhost:8888/joyeria/img/p/1/3/9/139.jpg;Anillo de cartier triangulo;139;Mujer;0;0;200;1
635;http://localhost:8888/joyeria/img/p/6/3/5/635.jpg;Collar;635;Raíz;141;253.8;200;1
521;http://localhost:8888/joyeria/img/p/5/2/1/521.jpg;Gargantilla;521;Raíz;156;280.8;200;1
48;http://localhost:8888/joyeria/img/p/4/8/48.jpg;Pulso herradura ferragamo piel;48;Mujer;0;0;200;1
113;http://localhost:8888/joyeria/img/p/1/1/3/113.jpg;Pulso clavo de cartier con pasta;113;Mujer;0;0;200;1
610;http://localhost:8888/joyeria/img/p/6/1/0/610.jpg;Pulsera;610;Raíz;52;93.6;200;1
496;http://localhost:8888/joyeria/img/p/4/9/6/496.jpg;Gargantilla;496;Raíz;244;439.2;200;1
