Imagen;Categoria;Precio Base;Precio Final;Cantidad;Nombre
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL396C $81.JPG;"1,10";81;129.6;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL398C $67.JPG;"1,10";67;107.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL399C $83.JPG;"1,10";83;132.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL400C $69.JPG;"1,10";69;110.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL401C $77.JPG;"1,10";77;123.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL402C $55.JPG;"1,10";55;88;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL403C 117.JPG;"1,10";117;187.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL404C $37.JPG;"1,10";37;59.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL405C $163.JPG;"1,10";163;260.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL406C $177.JPG;"1,10";177;283.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL407C $196.JPG;"1,10";196;313.6;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL408C $94.JPG;"1,10";94;150.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL409C $79.JPG;"1,10";79;126.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL410C $88.JPG;"1,10";88;140.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL411C $122.JPG;"1,10";122;195.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL412C $120.JPG;"1,10";120;192;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL414C $43.JPG;"1,10";43;68.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL415C $83.JPG;"1,10";83;132.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL416C $63.JPG;"1,10";63;100.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL417C $52.JPG;"1,10";52;83.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL418C $82.JPG;"1,10";82;131.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL419C $127.JPG;"1,10";127;203.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL420C $117.JPG;"1,10";117;187.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL421C $98.JPG;"1,10";98;156.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL422C $135.JPG;"1,10";135;216;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL423C $64.JPG;"1,10";64;102.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL424C $57.JPG;"1,10";57;91.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL425C $57.JPG;"1,10";57;91.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL426C $119.JPG;"1,10";119;190.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL427C $109.JPG;"1,10";109;174.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL428C $57.JPG;"1,10";57;91.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL429C $52.JPG;"1,10";52;83.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL430C $57.JPG;"1,10";57;91.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL431C $119.JPG;"1,10";119;190.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL432C $99.JPG;"1,10";99;158.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL433C $88.JPG;"1,10";88;140.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL434C $70.JPG;"1,10";70;112;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL435C $84.JPG;"1,10";84;134.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL436C $84.JPG;"1,10";84;134.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL437C $97.JPG;"1,10";97;155.2;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL438C $110.JPG;"1,10";110;176;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL439C $135.JPG;"1,10";135;216;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL440C $101.JPG;"1,10";101;161.6;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL441C $108.JPG;"1,10";108;172.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL442C $109.JPG;"1,10";109;174.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL443C $88.JPG;"1,10";88;140.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL444C $68.JPG;"1,10";68;108.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL445C $94.JPG;"1,10";94;150.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL446C $88.JPG;"1,10";88;140.8;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL447C $139.JPG;"1,10";139;222.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE PULSERAS ILEANA SANDOVAL/PL448C $64.JPG;"1,10";64;102.4;200;Pulsera
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co313c $260.JPG;"1,11";260;416;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co316c $143.JPG;"1,11";143;228.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co326c $291.JPG;"1,11";291;465.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co327c $483.JPG;"1,11";483;772.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co341c $192.JPG;"1,11";192;307.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co355c $141.JPG;"1,11";141;225.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co368c $311.JPG;"1,11";311;497.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co376c $141.JPG;"1,11";141;225.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co380c $241.JPG;"1,11";241;385.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co409c $162.JPG;"1,11";162;259.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co410c $177.JPG;"1,11";177;283.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co411c $181.JPG;"1,11";181;289.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co412c $316.JPG;"1,11";316;505.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co415c $252.JPG;"1,11";252;403.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co417c $208.JPG;"1,11";208;332.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co418c $198.JPG;"1,11";198;316.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co419c $205.JPG;"1,11";205;328;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co420c $249.JPG;"1,11";249;398.4;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co421c $223.JPG;"1,11";223;356.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/co423c $151.JPG;"1,11";151;241.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO425C $211.JPG;"1,11";211;337.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO427C $262.JPG;"1,11";262;419.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO428C $370.JPG;"1,11";370;592;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO430C $235.JPG;"1,11";235;376;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO432C $283.JPG;"1,11";283;452.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO434C $146.JPG;"1,11";146;233.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO435C $201.JPG;"1,11";201;321.6;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO436C $272.JPG;"1,11";272;435.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO437C $177.JPG;"1,11";177;283.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO438C $198.JPG;"1,11";198;316.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO439C $619.JPG;"1,11";619;990.4;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO440C $335.JPG;"1,11";335;536;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO441C $80.JPG;"1,11";80;128;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO442C $147.JPG;"1,11";147;235.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO444C $ 178.JPG;"1,11";178;284.8;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO445C $187.JPG;"1,11";187;299.2;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO446C $244.JPG;"1,11";244;390.4;200;Collar
http://localhost:8888/joyeria/temp/CATALOGO DE COLLARES ILEANA SANDOVAL/CO447C $114.JPG;"1,11";114;182.4;200;Collar
